x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,method,true_ll
1124.8923765246873,1124.6008464452607,1124.2522899927571,1123.8323773752927,1123.3241068921052,1122.7067910082405,1121.9552670065168,1121.03896488779,1119.9208172678773,1118.5560004369036,1116.8905043312843,1114.8595438803168,1112.3858475479647,1109.3778939230542,1105.7282171747065,1101.311969907416,1095.9860185019643,1089.588948589997,1081.9424669009313,1072.8547791661113,1062.1265657983895,mnl,74687.73636759346
1125.5942767685192,1125.4493193315866,1125.2780453061278,1125.0731912110932,1124.8264439421037,1124.5276601425721,1124.1644561689318,1123.72171492911,1123.1809955805657,1122.5198312724388,1121.7109001684003,1120.7210565116984,1119.5102123621327,1118.0300680791843,1116.2227022902516,1114.0190520826436,1111.3373440127616,1108.0815789705957,1104.1402313690778,1099.3853966270108,1093.672708534752,mnl,74687.73636759346
1125.5301238977263,1125.3776667916536,1125.1982989700482,1124.9842974731291,1124.7272677375586,1124.4169608002703,1124.0408557881165,1123.5836557927978,1123.0266816761578,1122.3471469910291,1121.5172965172678,1120.5033914738597,1119.2645271126967,1117.7512743443076,1115.9041479638981,1113.6519221704657,1110.9098422017705,1107.5778223013185,1103.5387781939935,1098.6573192462092,1092.7791215508041,mnl,74687.73636759346
1125.736680437738,1125.5978737514088,1125.436532936772,1125.2458305296313,1125.0179247140477,1124.7432608867966,1124.4101668541844,1124.0043612261798,1123.5083578521007,1122.9007468773634,1122.1553310387535,1121.2400946166454,1120.115982743213,1118.7354716338014,1117.040917375838,1114.9626844873565,1112.4170786707546,1109.3041451012396,1105.505449055374,1100.8820348467707,1095.2728660540743,mnl,74687.73636759346
1126.0649837821547,1125.9993680267798,1125.9294245963683,1125.8525220124138,1125.7660729100462,1125.6669808890438,1125.5515076709708,1125.4151099749433,1125.252238835732,1125.0560924562596,1124.818311717754,1124.5286051253934,1124.1742872084578,1123.7397112135368,1123.205573365005,1122.548062136193,1121.7378221457766,1120.738698958332,1119.5062290823407,1117.9858402448735,1116.1107328000653,mnl,74687.73636759346
1125.9333097947238,1125.8631634907942,1125.7860913852055,1125.6990470876772,1125.5991355718288,1125.482866588296,1125.3460060019715,1125.183393140731,1124.9887161101797,1124.754235245724,1124.470442734193,1124.1256439079734,1123.705442770617,1123.192110966862,1122.5638157372596,1121.7936785834609,1120.8486327878054,1119.6880452357145,1118.2620673061756,1116.5096827148082,1114.3564299050922,mnl,74687.73636759346
1126.0284567105264,1125.986836065771,1125.9404571396444,1125.8870684753638,1125.8247136527934,1125.7510058233165,1125.6630232515745,1125.557180899923,1125.4290725496685,1125.2732767636335,1125.0831185829884,1124.8503771844553,1124.5649277972698,1124.2143039868533,1123.783163991393,1123.2526422411174,1122.599564670556,1121.7955042770482,1120.8056521075487,1119.5874793174298,1118.0891694262828,mnl,74687.73636759346
1126.089951832124,1126.0281523337617,1125.9648190476873,1125.8979518665292,1125.8256560852897,1125.7457386155584,1125.655620628837,1125.5522317868745,1125.43188145163,1125.2901012437796,1125.121452068328,1124.9192872102867,1124.675461283885,1124.3799726498692,1124.020524379448,1123.5819859236362,1123.0457343884627,1122.3888508288946,1121.5831435023138,1120.5939670154912,1119.3788045315014,mnl,74687.73636759346
1125.7242015561496,1125.6022305387596,1125.4594124000432,1125.2897557849064,1125.086346395663,1124.8406964034075,1124.5423637048661,1124.1784831017721,1123.7331896949472,1123.1869110453408,1122.5155006028654,1121.6891807946668,1120.6712604916102,1119.4165892076999,1117.8697107794724,1115.9626847333566,1113.6125576407067,1110.7184947115602,1107.1586310765706,1102.7867823983252,1097.429277387273,mnl,74687.73636759346
1125.905848451308,1125.806241665865,1125.7001136533363,1125.5830028177297,1125.451507689504,1125.3015743877186,1125.1283352159226,1124.9259119319322,1124.687175787636,1124.4034548689233,1124.064177462773,1123.6564381572243,1123.164471178461,1122.5690132024174,1121.8465357294626,1120.9683254275587,1119.8993901700596,1118.597169672532,1117.0100339565106,1115.0755621991411,1112.7186114974902,mnl,74687.73636759346
1125.6420351526176,1125.5161796852335,1125.3724494970375,1125.205744987863,1125.0102044880769,1124.7787052001513,1124.50256162,1124.171156395707,1123.7714888885675,1123.2876239990292,1122.700020884091,1121.9847181799269,1121.112349554067,1120.0469613477035,1118.7446035843604,1117.1516680261557,1115.202954267137,1112.8194599882409,1109.9059185805672,1106.3481518552726,1102.0103743289656,mnl,74687.73636759346
1125.3629052264587,1125.1721541646693,1124.9469281929778,1124.6772635949892,1124.3521318506828,1123.9580439977726,1123.4784830450662,1122.8932156284136,1122.1774604364764,1121.300888780519,1120.2264315469365,1118.908867596474,1117.293172896374,1115.3126194198703,1112.886631159825,1109.9184356256737,1106.2925982892775,1101.8726009965758,1096.4987299644126,1089.986679513473,1082.1274535721022,mnl,74687.73636759346
1125.8525428590074,1125.7786146221042,1125.6983705894527,1125.6088657758664,1125.5075674948312,1125.3914532994968,1125.256889135926,1125.0994802325731,1124.9138882758998,1124.6936069955118,1124.4306865679246,1124.1153952062014,1123.7358038991515,1123.2772774934274,1122.721852182949,1122.0474760833458,1121.2270861011784,1120.2274911362329,1119.008029411416,1117.5189674694557,1115.6996117790986,mnl,74687.73636759346
1125.7172915336123,1125.593149000575,1125.4522703093098,1125.2888276306185,1125.0970313305734,1124.869814777805,1124.5985221124429,1124.2725228753116,1123.8787364533928,1123.4010457262339,1122.819575206493,1122.1098044486134,1121.241482776386,1120.1773069316696,1118.871319920916,1117.266988613832,1115.2949219267757,1112.870204468898,1109.8893479997496,1106.2269130760542,1101.731936839249,mnl,74687.73636759346
1125.9119092037436,1125.8230325126497,1125.7221821928688,1125.6053373558243,1125.4679947279074,1125.3046850862738,1125.1087386174331,1124.8719981226313,1124.584468660265,1124.233890088508,1123.8052166171983,1123.2799849833827,1122.6355503934028,1121.8441672352055,1120.8718902558612,1119.677272229048,1118.2098373384943,1116.4083174087136,1114.1986533398158,1111.4917902538436,1108.1813366147107,mnl,74687.73636759346
1125.4290590054006,1125.2856415971473,1125.1163780167699,1124.9142457686394,1124.6714762453776,1124.3786003491696,1124.0240710939688,1123.5938096060127,1123.0706614337687,1122.433749172531,1121.6577071981592,1120.7117852991796,1119.5588109467353,1118.154005891105,1116.4436631530261,1114.3637071106496,1111.8381845277909,1108.7777705094923,1105.0784228734556,1100.6203827268328,1095.2677972979145,mnl,74687.73636759346
1126.0870704890694,1125.9633307617623,1125.8297984348028,1125.6820365177555,1125.515079340359,1125.322997982672,1125.098651676075,1124.833384255253,1124.5166530254792,1124.1355748862698,1123.6743716657802,1123.113693424224,1122.4297951044282,1121.5935386072088,1120.5691896219796,1119.3129771501117,1117.7713849176216,1115.879149790635,1113.5569558992574,1110.7088387777476,1107.2193574295088,mnl,74687.73636759346
1125.9684133630653,1125.869485681571,1125.759563086729,1125.6346836048033,1125.490465296578,1125.3216172269458,1125.1217217766243,1124.8829699235503,1124.595839705129,1124.2487064328743,1123.827371506035,1123.3144949709094,1122.6889154886594,1121.9248404368846,1120.9908889615763,1119.8489726727566,1118.4530034221825,1116.7474267285725,1114.6655949892593,1112.1280192568083,1109.0405752186343,mnl,74687.73636759346
1126.1921569543774,1126.0996652802569,1126.003982418959,1125.9020954171865,1125.7909527574811,1125.666978586436,1125.5259253677214,1125.3626939892274,1125.171113258475,1124.9436688921269,1124.6711698947329,1124.342337565089,1123.9432992285147,1123.4569651423953,1122.8622629032616,1122.1331992208434,1121.2377144193451,1120.1362910540338,1118.7802756159217,1117.1098731405073,1115.0517813860497,mnl,74687.73636759346
1125.9422783174086,1125.8404250367894,1125.7272710105171,1125.5979765327938,1125.4478642508038,1125.2712879565952,1125.0614005565003,1124.809872758633,1124.5065524945676,1124.1390535796381,1123.6922606119188,1123.147735771723,1122.4830122733838,1121.6707591430459,1120.677803357641,1119.4639990670694,1117.9809408688307,1116.1705305912183,1113.9634269187663,1111.277437075536,1108.015952502814,mnl,74687.73636759346
13559.168658773575,3177.7198966749565,2564.5020524912834,2143.8034357880533,1775.2799288505194,1466.1620586668432,1224.7439669171872,1043.5448828708468,907.8972494877089,804.5425126914051,723.8502068760572,659.2558841198334,606.3117243989109,561.9620648270065,524.0675592530606,491.10231289078365,461.9599820548756,435.8273416353477,412.10002217091096,390.3250938005367,370.1611005064042,random,74687.73636759346
13156.164230501585,3458.271273637656,3056.5508303671813,2790.773899193635,2551.7314950390137,2328.95712811088,2119.2341380222497,1922.4307759195508,1739.9556288453023,1573.4926586334768,1424.1419256276276,1292.0599373559526,1176.4904047758464,1076.0145135925268,988.8702949692088,913.235381005652,847.419533139444,789.959595701017,739.638444136901,695.4590090302954,656.6005732082558,random,74687.73636759346
9342.324680542326,1939.7453558241978,1546.8648276999156,1350.306644267941,1205.4987839257665,1089.8790789140767,992.5120722752326,907.4800907207828,831.5810210135096,763.1173873207299,701.1842221642873,645.2378879677563,594.8557649825088,549.6264703814522,509.1179808618908,472.882806306603,440.4747241099685,411.4647274762392,385.4521181197051,362.07063060288783,340.9907801893132,random,74687.73636759346
18951.149469125827,4489.481491754181,3442.1741292753286,2923.7666040652985,2471.978301164214,2071.5802444848523,1740.590850841123,1478.7434651820513,1272.6610661623417,1107.9841926655936,974.0344355262205,863.7033858021605,772.2361830235022,696.222310789628,632.9852720888885,580.2786142716795,536.1647515961668,498.97876132954843,467.3162233211624,440.0173793081631,416.1415555013227,random,74687.73636759346
10669.976846845631,3016.4802196339006,2562.6575123850344,2254.5795149586484,1970.6150778547744,1711.153402952099,1485.521541622089,1295.6994523311878,1137.6702723054914,1005.6298942172725,894.1716971660644,798.9289587159728,716.5757947563106,644.6420235638507,581.3102478956716,525.2416602136655,475.4370093775069,431.1295436089131,391.7057165988517,356.6497175855184,325.5077451038378,random,74687.73636759346
15327.400453105161,2675.837045824417,2004.2989204692567,1726.727643585953,1520.3776472228637,1352.831525723057,1213.6726028555277,1096.9715399014967,998.6092590293993,915.3556714700098,844.518963989729,783.8306908828963,731.4024973142805,685.6894975945615,645.4459468978894,609.6765967833198,577.5896532417246,548.555173543893,522.0703762012708,497.731806189724,475.2135513617977,random,74687.73636759346
