x1,x2,x3,x4,x5,x6
547.0,210.0,0.0,0.0,0.0,243.0
300.0,0.0,0.0,0.0,656.0,44.0
0.0,35.0,0.0,301.0,626.0,38.0
278.0,78.0,596.0,0.0,0.0,48.0
292.0,93.0,567.0,0.0,0.0,48.0
0.0,57.0,586.0,332.0,0.0,25.0
0.0,0.0,458.0,0.0,416.0,126.0
292.0,0.0,0.0,0.0,672.0,36.0
463.0,0.0,0.0,312.0,0.0,225.0
0.0,0.0,600.0,349.0,0.0,51.0
0.0,194.0,0.0,546.0,0.0,260.0
0.0,134.0,434.0,0.0,344.0,88.0
341.0,0.0,593.0,0.0,0.0,66.0
433.0,0.0,0.0,315.0,0.0,252.0
0.0,0.0,391.0,294.0,292.0,23.0
0.0,130.0,461.0,0.0,316.0,93.0
0.0,0.0,370.0,287.0,320.0,23.0
459.0,0.0,0.0,320.0,0.0,221.0
344.0,0.0,578.0,0.0,0.0,78.0
231.0,0.0,0.0,118.0,621.0,30.0
0.0,169.0,0.0,0.0,713.0,118.0
422.0,128.0,0.0,275.0,0.0,175.0
0.0,0.0,0.0,333.0,620.0,47.0
0.0,177.0,0.0,510.0,0.0,313.0
0.0,188.0,0.0,522.0,0.0,290.0
0.0,184.0,0.0,0.0,674.0,142.0
0.0,0.0,505.0,0.0,364.0,131.0
298.0,33.0,0.0,0.0,626.0,43.0
0.0,61.0,566.0,345.0,0.0,28.0
286.0,31.0,0.0,0.0,642.0,41.0
0.0,0.0,492.0,0.0,372.0,136.0
447.0,0.0,0.0,322.0,0.0,231.0
0.0,0.0,363.0,301.0,307.0,29.0
0.0,0.0,0.0,318.0,634.0,48.0
0.0,166.0,0.0,0.0,710.0,124.0
0.0,192.0,0.0,552.0,0.0,256.0
306.0,0.0,0.0,0.0,665.0,29.0
0.0,0.0,0.0,301.0,648.0,51.0
0.0,215.0,0.0,502.0,0.0,283.0
273.0,88.0,592.0,0.0,0.0,47.0
552.0,192.0,0.0,0.0,0.0,256.0
0.0,67.0,568.0,334.0,0.0,31.0
0.0,0.0,393.0,278.0,297.0,32.0
0.0,0.0,589.0,342.0,0.0,69.0
0.0,0.0,0.0,298.0,664.0,38.0
0.0,0.0,516.0,0.0,351.0,133.0
0.0,0.0,0.0,288.0,672.0,40.0
0.0,0.0,503.0,0.0,352.0,145.0
542.0,190.0,0.0,0.0,0.0,268.0
0.0,169.0,0.0,0.0,701.0,130.0
