x1,x2,x3,x4,x5,x6
0.0,0.0,531.0,320.0,93.0,56.0
161.0,0.0,508.0,278.0,0.0,53.0
0.0,460.0,0.0,0.0,383.0,157.0
0.0,391.0,553.0,0.0,30.0,26.0
160.0,0.0,493.0,290.0,0.0,57.0
535.0,0.0,0.0,0.0,301.0,164.0
270.0,339.0,0.0,305.0,0.0,86.0
0.0,0.0,668.0,0.0,197.0,135.0
91.0,349.0,542.0,0.0,0.0,18.0
0.0,386.0,0.0,290.0,245.0,79.0
522.0,0.0,0.0,0.0,335.0,143.0
0.0,0.0,0.0,508.0,344.0,148.0
0.0,0.0,565.0,299.0,88.0,48.0
453.0,415.0,0.0,0.0,0.0,132.0
305.0,399.0,0.0,0.0,222.0,74.0
0.0,393.0,0.0,441.0,0.0,166.0
0.0,397.0,582.0,0.0,0.0,21.0
280.0,422.0,0.0,0.0,216.0,82.0
0.0,410.0,534.0,0.0,30.0,26.0
0.0,0.0,0.0,508.0,357.0,135.0
0.0,0.0,0.0,479.0,362.0,159.0
0.0,0.0,669.0,0.0,190.0,141.0
0.0,0.0,528.0,315.0,101.0,56.0
0.0,0.0,0.0,483.0,371.0,146.0
0.0,375.0,485.0,128.0,0.0,12.0
435.0,0.0,0.0,436.0,0.0,129.0
0.0,489.0,0.0,0.0,366.0,145.0
318.0,0.0,0.0,358.0,217.0,107.0
432.0,0.0,0.0,458.0,0.0,110.0
0.0,338.0,510.0,141.0,0.0,11.0
0.0,350.0,495.0,149.0,0.0,6.0
0.0,361.0,610.0,0.0,0.0,29.0
448.0,432.0,0.0,0.0,0.0,120.0
0.0,0.0,571.0,353.0,0.0,76.0
293.0,352.0,0.0,276.0,0.0,79.0
83.0,374.0,526.0,0.0,0.0,17.0
0.0,485.0,0.0,0.0,377.0,138.0
313.0,0.0,601.0,0.0,0.0,86.0
492.0,0.0,0.0,0.0,357.0,151.0
62.0,365.0,549.0,0.0,0.0,24.0
449.0,431.0,0.0,0.0,0.0,120.0
311.0,0.0,591.0,0.0,0.0,98.0
305.0,0.0,0.0,374.0,227.0,94.0
0.0,0.0,653.0,0.0,205.0,142.0
326.0,0.0,0.0,341.0,237.0,96.0
0.0,465.0,0.0,0.0,384.0,151.0
0.0,401.0,570.0,0.0,0.0,29.0
0.0,327.0,547.0,120.0,0.0,6.0
448.0,424.0,0.0,0.0,0.0,128.0
446.0,432.0,0.0,0.0,0.0,122.0
