x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
344.0,292.0,161.0,0.0,0.0,0.0,81.0,56.0,0.0,58.0,8.0
538.0,337.0,0.0,0.0,0.0,0.0,67.0,0.0,53.0,0.0,5.0
406.0,112.0,159.0,0.0,0.0,282.0,0.0,35.0,0.0,0.0,6.0
0.0,135.0,411.0,59.0,45.0,275.0,68.0,0.0,0.0,0.0,7.0
0.0,0.0,0.0,221.0,196.0,460.0,0.0,0.0,86.0,0.0,37.0
0.0,133.0,459.0,0.0,54.0,316.0,0.0,0.0,33.0,0.0,5.0
529.0,0.0,0.0,0.0,94.0,0.0,266.0,0.0,0.0,84.0,27.0
391.0,0.0,190.0,38.0,0.0,0.0,177.0,116.0,69.0,0.0,19.0
527.0,288.0,0.0,0.0,0.0,0.0,100.0,56.0,23.0,0.0,6.0
457.0,0.0,209.0,0.0,0.0,0.0,0.0,193.0,0.0,111.0,30.0
0.0,0.0,416.0,63.0,58.0,379.0,75.0,0.0,0.0,0.0,9.0
0.0,0.0,438.0,57.0,41.0,372.0,0.0,49.0,35.0,0.0,8.0
525.0,366.0,0.0,49.0,0.0,0.0,0.0,0.0,46.0,0.0,14.0
388.0,119.0,167.0,0.0,0.0,259.0,39.0,23.0,0.0,0.0,5.0
0.0,315.0,357.0,65.0,63.0,0.0,0.0,65.0,0.0,127.0,8.0
446.0,386.0,0.0,0.0,50.0,0.0,0.0,0.0,40.0,75.0,3.0
0.0,0.0,499.0,0.0,40.0,368.0,0.0,40.0,37.0,0.0,16.0
506.0,117.0,0.0,0.0,39.0,285.0,0.0,30.0,18.0,0.0,5.0
0.0,342.0,0.0,258.0,0.0,0.0,189.0,100.0,85.0,0.0,26.0
0.0,136.0,381.0,0.0,0.0,291.0,57.0,0.0,0.0,128.0,7.0
0.0,0.0,438.0,0.0,64.0,395.0,69.0,0.0,28.0,0.0,6.0
0.0,157.0,0.0,111.0,60.0,289.0,81.0,0.0,0.0,292.0,10.0
0.0,398.0,0.0,0.0,267.0,0.0,0.0,121.0,162.0,0.0,52.0
447.0,0.0,0.0,0.0,32.0,422.0,0.0,21.0,0.0,73.0,5.0
546.0,0.0,0.0,123.0,151.0,0.0,0.0,0.0,0.0,133.0,47.0
494.0,0.0,0.0,98.0,122.0,0.0,0.0,0.0,149.0,104.0,33.0
373.0,321.0,189.0,26.0,46.0,0.0,0.0,0.0,34.0,0.0,11.0
375.0,0.0,192.0,73.0,0.0,0.0,264.0,0.0,0.0,75.0,21.0
531.0,121.0,0.0,0.0,0.0,277.0,51.0,0.0,17.0,0.0,3.0
0.0,0.0,0.0,0.0,114.0,443.0,0.0,62.0,0.0,364.0,17.0
474.0,0.0,256.0,80.0,0.0,0.0,0.0,0.0,160.0,0.0,30.0
0.0,143.0,0.0,121.0,0.0,287.0,0.0,45.0,53.0,335.0,16.0
493.0,137.0,0.0,37.0,30.0,300.0,0.0,0.0,0.0,0.0,3.0
0.0,119.0,486.0,0.0,47.0,309.0,0.0,27.0,0.0,0.0,12.0
0.0,393.0,0.0,139.0,0.0,0.0,129.0,0.0,0.0,311.0,28.0
324.0,140.0,132.0,0.0,20.0,318.0,0.0,0.0,0.0,57.0,9.0
373.0,0.0,167.0,0.0,0.0,407.0,0.0,0.0,0.0,48.0,5.0
382.0,0.0,205.0,63.0,118.0,0.0,0.0,137.0,74.0,0.0,21.0
447.0,0.0,0.0,42.0,0.0,336.0,59.0,30.0,0.0,76.0,10.0
296.0,144.0,168.0,0.0,16.0,313.0,0.0,0.0,0.0,57.0,6.0
478.0,0.0,0.0,0.0,0.0,399.0,49.0,0.0,0.0,69.0,5.0
0.0,158.0,0.0,102.0,103.0,295.0,0.0,0.0,0.0,327.0,15.0
403.0,0.0,206.0,66.0,102.0,0.0,0.0,0.0,129.0,72.0,22.0
474.0,281.0,0.0,40.0,54.0,0.0,81.0,0.0,0.0,65.0,5.0
321.0,0.0,179.0,31.0,0.0,375.0,0.0,27.0,0.0,63.0,4.0
0.0,374.0,0.0,0.0,121.0,0.0,0.0,86.0,0.0,401.0,18.0
0.0,348.0,393.0,0.0,62.0,0.0,0.0,0.0,45.0,131.0,21.0
525.0,0.0,0.0,38.0,72.0,0.0,147.0,134.0,71.0,0.0,13.0
474.0,148.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,75.0,10.0
373.0,0.0,164.0,0.0,0.0,395.0,0.0,40.0,22.0,0.0,6.0
