x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,552.0,203.0,0.0,0.0,244.0,1.0,0.0,0.0
0.0,241.0,517.0,239.0,0.0,1.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,789.0,0.0
216.0,0.0,540.0,0.0,0.0,0.0,242.0,2.0,0.0,0.0
0.0,0.0,681.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0
458.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,0.0,0.0
243.0,63.0,0.0,0.0,0.0,0.0,694.0,0.0,0.0,0.0
226.0,0.0,0.0,2.0,0.0,0.0,768.0,0.0,0.0,4.0
263.0,225.0,0.0,4.0,504.0,0.0,0.0,0.0,0.0,4.0
443.0,0.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199.0,0.0,0.0,2.0,0.0,0.0,795.0,0.0,0.0,4.0
260.0,194.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,259.0,0.0,210.0,517.0,9.0,0.0,0.0,0.0,5.0
226.0,0.0,0.0,0.0,4.0,0.0,242.0,0.0,528.0,0.0
0.0,0.0,563.0,28.0,0.0,0.0,206.0,0.0,203.0,0.0
0.0,0.0,534.0,0.0,0.0,115.0,346.0,4.0,0.0,1.0
0.0,285.0,0.0,0.0,1.0,179.0,0.0,533.0,0.0,2.0
0.0,220.0,0.0,26.0,1.0,0.0,0.0,0.0,753.0,0.0
0.0,246.0,0.0,0.0,1.0,210.0,0.0,541.0,0.0,2.0
430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0
0.0,0.0,0.0,26.0,0.0,0.0,225.0,507.0,242.0,0.0
243.0,193.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0
0.0,0.0,572.0,0.0,0.0,0.0,213.0,0.0,215.0,0.0
0.0,227.0,561.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0
0.0,1.0,0.0,35.0,1.0,0.0,230.0,0.0,733.0,0.0
0.0,0.0,550.0,226.0,0.0,0.0,224.0,0.0,0.0,0.0
0.0,256.0,0.0,241.0,497.0,3.0,0.0,0.0,0.0,3.0
0.0,0.0,688.0,0.0,0.0,0.0,0.0,4.0,308.0,0.0
207.0,0.0,0.0,0.0,0.0,0.0,241.0,480.0,72.0,0.0
0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,934.0,1.0
499.0,0.0,0.0,159.0,0.0,177.0,0.0,0.0,0.0,165.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,516.0,2.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,996.0,2.0
0.0,0.0,0.0,35.0,0.0,0.0,211.0,480.0,274.0,0.0
0.0,0.0,764.0,233.0,0.0,0.0,0.0,2.0,0.0,1.0
235.0,185.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,66.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,779.0,0.0
0.0,0.0,547.0,0.0,0.0,0.0,213.0,0.0,240.0,0.0
0.0,0.0,0.0,212.0,0.0,3.0,783.0,0.0,0.0,2.0
0.0,0.0,574.0,209.0,0.0,2.0,214.0,1.0,0.0,0.0
0.0,0.0,690.0,0.0,0.0,2.0,0.0,0.0,307.0,1.0
0.0,0.0,682.0,0.0,2.0,0.0,0.0,0.0,316.0,0.0
232.0,40.0,0.0,0.0,251.0,0.0,477.0,0.0,0.0,0.0
0.0,250.0,547.0,0.0,0.0,198.0,0.0,4.0,0.0,1.0
211.0,0.0,0.0,0.0,1.0,0.0,235.0,0.0,553.0,0.0
0.0,0.0,0.0,246.0,0.0,0.0,208.0,546.0,0.0,0.0
0.0,709.0,0.0,236.0,0.0,30.0,0.0,0.0,0.0,25.0
0.0,0.0,649.0,39.0,0.0,0.0,0.0,0.0,311.0,1.0
