x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
418.0,282.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,43.0
273.0,0.0,0.0,568.0,0.0,72.0,0.0,0.0,69.0,0.0,18.0
293.0,0.0,0.0,564.0,0.0,43.0,0.0,0.0,0.0,95.0,5.0
305.0,0.0,16.0,489.0,89.0,0.0,12.0,0.0,0.0,82.0,7.0
0.0,0.0,45.0,691.0,0.0,61.0,0.0,118.0,0.0,63.0,22.0
293.0,44.0,28.0,534.0,0.0,0.0,22.0,0.0,63.0,0.0,16.0
386.0,296.0,0.0,0.0,0.0,114.0,0.0,161.0,0.0,0.0,43.0
0.0,0.0,110.0,0.0,520.0,0.0,106.0,0.0,0.0,194.0,70.0
0.0,0.0,0.0,0.0,416.0,101.0,0.0,121.0,258.0,68.0,36.0
0.0,169.0,0.0,0.0,298.0,69.0,55.0,150.0,226.0,0.0,33.0
289.0,0.0,14.0,513.0,0.0,23.0,0.0,118.0,35.0,0.0,8.0
0.0,104.0,0.0,598.0,124.0,0.0,0.0,144.0,0.0,0.0,30.0
0.0,193.0,0.0,0.0,329.0,0.0,57.0,0.0,238.0,142.0,41.0
0.0,299.0,126.0,0.0,0.0,0.0,0.0,147.0,289.0,90.0,49.0
291.0,48.0,0.0,502.0,0.0,21.0,19.0,113.0,0.0,0.0,6.0
0.0,0.0,0.0,555.0,103.0,53.0,27.0,0.0,173.0,69.0,20.0
0.0,0.0,0.0,696.0,0.0,57.0,0.0,136.0,0.0,72.0,39.0
0.0,96.0,0.0,689.0,0.0,85.0,0.0,0.0,0.0,94.0,36.0
269.0,0.0,34.0,545.0,0.0,68.0,0.0,0.0,63.0,0.0,21.0
0.0,113.0,82.0,705.0,0.0,0.0,58.0,0.0,0.0,0.0,42.0
0.0,0.0,67.0,0.0,400.0,94.0,54.0,0.0,251.0,106.0,28.0
0.0,352.0,0.0,0.0,0.0,0.0,109.0,207.0,281.0,0.0,51.0
0.0,79.0,35.0,551.0,0.0,80.0,25.0,0.0,206.0,0.0,24.0
342.0,153.0,0.0,0.0,330.0,0.0,0.0,149.0,0.0,0.0,26.0
0.0,85.0,47.0,574.0,126.0,94.0,46.0,0.0,0.0,0.0,28.0
296.0,42.0,0.0,548.0,0.0,0.0,12.0,90.0,0.0,0.0,12.0
0.0,71.0,34.0,582.0,0.0,0.0,0.0,0.0,175.0,119.0,19.0
0.0,209.0,0.0,0.0,402.0,118.0,83.0,0.0,0.0,132.0,56.0
333.0,0.0,0.0,0.0,406.0,0.0,0.0,127.0,66.0,43.0,25.0
397.0,235.0,0.0,0.0,0.0,77.0,58.0,137.0,0.0,58.0,38.0
397.0,299.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,79.0,50.0
380.0,0.0,173.0,0.0,0.0,0.0,128.0,0.0,107.0,159.0,53.0
381.0,0.0,71.0,0.0,403.0,103.0,0.0,0.0,0.0,0.0,42.0
324.0,0.0,60.0,0.0,402.0,0.0,0.0,0.0,66.0,105.0,43.0
0.0,385.0,0.0,0.0,0.0,181.0,147.0,218.0,0.0,0.0,69.0
0.0,269.0,146.0,0.0,395.0,0.0,119.0,0.0,0.0,0.0,71.0
0.0,0.0,53.0,644.0,0.0,0.0,36.0,0.0,243.0,0.0,24.0
0.0,257.0,0.0,0.0,400.0,0.0,104.0,0.0,0.0,198.0,41.0
0.0,229.0,0.0,0.0,412.0,0.0,97.0,0.0,0.0,199.0,63.0
300.0,0.0,20.0,537.0,0.0,39.0,20.0,0.0,0.0,75.0,9.0
269.0,0.0,39.0,547.0,0.0,48.0,21.0,0.0,63.0,0.0,13.0
268.0,54.0,0.0,521.0,0.0,72.0,21.0,0.0,57.0,0.0,7.0
359.0,0.0,0.0,0.0,394.0,107.0,0.0,0.0,0.0,102.0,38.0
450.0,0.0,173.0,0.0,0.0,0.0,130.0,0.0,0.0,174.0,73.0
0.0,167.0,93.0,0.0,369.0,116.0,77.0,0.0,0.0,123.0,55.0
0.0,330.0,134.0,0.0,0.0,0.0,0.0,0.0,298.0,186.0,52.0
0.0,106.0,42.0,636.0,0.0,0.0,49.0,143.0,0.0,0.0,24.0
0.0,73.0,21.0,582.0,0.0,47.0,0.0,0.0,178.0,85.0,14.0
299.0,53.0,27.0,510.0,0.0,74.0,20.0,0.0,0.0,0.0,17.0
0.0,77.0,0.0,535.0,0.0,60.0,29.0,0.0,185.0,101.0,13.0
